system:index,ARVI,EVI,MNDVI,MNDWI,NDMI,NDVI,NDWI,NMDI,RDI,RECI,SAVI,TVI,cloudPercent,date,year,.geo
0,0.2218376534,-1.229981325,-0.1394624806,-0.03253318172,0.1393859452,0.2166954251,-0.1709231376,0.6807597805,1.381326385,0.5794199623,0.389993539,0.84372986,0,2023-01-01,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.2101008248,-1.348966718,-0.1697268014,-0.03314180943,0.1351391452,0.2058135016,-0.1666585351,0.6604310467,1.48052922,0.5560520216,0.3704108464,0.8358019527,0,2023-01-04,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-0.01765049951,0.2200215471,-0.07093180437,0.2240909636,0.2273591488,-0.01753853491,-0.003322402685,0.691260747,1.16539144,0.05857456494,-0.03156799603,0.6945521848,0,2023-01-07,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.2607998341,-1.682992604,-0.06865377429,-0.0732707497,0.1366626886,0.256067107,-0.2077102034,0.6727760934,1.167458579,0.5994644794,0.4608561542,0.867384388,0,2023-01-10,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.2566479885,-2.240589968,-0.105666181,-0.0871605505,0.1235054353,0.252306813,-0.2077449283,0.6712879852,1.278769482,0.586261511,0.4540866459,0.864180645,0,2023-01-13,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.3104267832,-2.474105576,-0.06539529861,-0.112732779,0.1445894325,0.3062629638,-0.2529938216,0.6680856437,1.178805548,0.7622679632,0.5511882382,0.8949080804,0,2023-01-16,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.2861912931,-1.937580594,-0.09453639685,-0.1043147155,0.1269896745,0.28138094,-0.2288130311,0.6412326519,1.238870158,0.6302992646,0.5064106062,0.8824870575,0,2023-01-19,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.05787767882,-0.6444054932,-0.2621413791,-0.004350861952,0.06520226643,0.05752234398,-0.0695990489,0.6819285691,1.716841783,0.1936481408,0.1035320783,0.7463267436,0,2023-01-22,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.2013570678,-1.417534862,-0.09429326097,-0.03129102181,0.131150568,0.1970419375,-0.1614580831,0.6979083487,1.270982393,0.462774347,0.3546253864,0.8319459033,0,2023-01-25,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.2737504148,-2.292859902,-0.0780144567,-0.09992269573,0.1295049456,0.269884548,-0.2261429726,0.6744980246,1.210806697,0.65729639,0.4857181466,0.8739962511,0,2023-01-28,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.0227470699,-0.1196495089,-0.1801780153,0.08860996884,0.1162246517,0.02125450183,-0.02781696841,0.6311046566,1.472359502,0.1408253948,0.03825382388,0.7214598147,0,2023-02-03,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.2917823167,-2.353342401,-0.09051671321,-0.1219371243,0.1201235194,0.2878246458,-0.2389366192,0.6460371931,1.236862257,0.6798961047,0.5180009401,0.8850910548,0,2023-02-06,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.1892294838,-1.516752301,-0.1164836251,-0.08100368807,0.08053963474,0.1856776708,-0.160529838,0.669019248,1.297728396,0.3911846272,0.3341725451,0.8257313479,0,2023-02-09,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.2028068968,-1.645930333,-0.1447607252,-0.1191608225,0.05782436842,0.1996447118,-0.1760905688,0.6343037046,1.383138999,0.415146409,0.3593084726,0.833892583,0,2023-02-12,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.2260295932,-2.075962407,-0.09479941142,-0.1032962129,0.09185781163,0.2229046434,-0.1936244472,0.6569770611,1.245097724,0.4692866199,0.4011681981,0.8475604119,0,2023-02-15,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.1745546831,-1.289106291,-0.1696196778,-0.1192958166,0.03924074579,0.1720592861,-0.1581123877,0.6319263558,1.457529868,0.3618578341,0.3096631467,0.8167408479,0,2023-02-18,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
